Date,Close,Volume,High,Low
2025-10-20 00:00:00-04:00,4.579999923706055,6833700,4.639999866485596,4.489999771118164
2025-10-21 00:00:00-04:00,4.639999866485596,8806000,4.670000076293945,4.510000228881836
2025-10-22 00:00:00-04:00,4.510000228881836,23864400,5.090000152587891,4.449999809265137
2025-10-23 00:00:00-04:00,4.610000133514404,5759400,4.650000095367432,4.510000228881836
2025-10-24 00:00:00-04:00,4.78000020980835,8799200,4.860000133514404,4.610000133514404
2025-10-27 00:00:00-04:00,4.800000190734863,7342300,4.849999904632568,4.71999979019165
2025-10-28 00:00:00-04:00,4.840000152587891,12704000,4.909999847412109,4.71999979019165
2025-10-29 00:00:00-04:00,4.829999923706055,10364900,4.909999847412109,4.739999771118164
2025-10-30 00:00:00-04:00,4.769999980926514,7915900,4.940000057220459,4.760000228881836
2025-10-31 00:00:00-04:00,4.880000114440918,8020400,4.909999847412109,4.769999980926514
2025-11-03 00:00:00-05:00,4.800000190734863,10498700,4.929999828338623,4.710000038146973
2025-11-04 00:00:00-05:00,4.670000076293945,12150300,4.789999961853027,4.570000171661377
2025-11-05 00:00:00-05:00,4.75,9036400,4.769999980926514,4.539999961853027
2025-11-06 00:00:00-05:00,4.619999885559082,6827400,4.78000020980835,4.570000171661377
2025-11-07 00:00:00-05:00,4.559999942779541,10556900,4.599999904632568,4.440000057220459
2025-11-10 00:00:00-05:00,4.630000114440918,6063000,4.659999847412109,4.559999942779541
2025-11-11 00:00:00-05:00,4.559999942779541,5333200,4.619999885559082,4.53000020980835
2025-11-12 00:00:00-05:00,4.489999771118164,7384700,4.559999942779541,4.460000038146973
2025-11-13 00:00:00-05:00,4.349999904632568,8472800,4.460000038146973,4.28000020980835
2025-11-14 00:00:00-05:00,4.309999942779541,14136400,4.309999942779541,4.190000057220459
2025-11-17 00:00:00-05:00,4.159999847412109,7002200,4.329999923706055,4.139999866485596
2025-11-18 00:00:00-05:00,4.300000190734863,8462000,4.349999904632568,4.099999904632568
2025-11-19 00:00:00-05:00,4.21999979019165,6360300,4.329999923706055,4.190000057220459
2025-11-20 00:00:00-05:00,4.130000114440918,8352200,4.349999904632568,4.130000114440918
2025-11-21 00:00:00-05:00,4.170000076293945,8654700,4.210000038146973,4.050000190734863
2025-11-24 00:00:00-05:00,4.150000095367432,10178900,4.289999961853027,4.139999866485596
2025-11-25 00:00:00-05:00,4.0,9701500,4.090000152587891,3.9800000190734863
2025-11-26 00:00:00-05:00,4.070000171661377,8354300,4.119999885559082,4.0
2025-11-28 00:00:00-05:00,4.079999923706055,3334200,4.119999885559082,4.059999942779541
2025-12-01 00:00:00-05:00,3.9800000190734863,6924300,4.03000020980835,3.940000057220459
