Ticker,Start_Date,End_Date,Days,Strategy_Return,Buy_Hold_Return,Alpha,Sharpe,Max_DD,Trades,Win_Rate,Avg_Trade,Current_Price
PEP,2023-12-04,2025-12-01,500,-28.543432987886575,-6.048585208694901,-22.494847779191673,-3.7619862905562185,-28.543432987886575,59,20.33898305084746,-0.6055373505704731,149.50999450683594
KO,2023-12-04,2025-12-01,500,-32.608343039963984,29.422296366317212,-62.030639406281196,-4.8373657795642915,-33.05386745867257,71,18.30985915492958,-0.5876871823129015,71.94999694824219
PG,2023-12-04,2025-12-01,500,-21.567325952979065,2.0011381751132262,-23.56846412809229,-2.577478043037125,-21.567325952979065,64,21.875,-0.4031015807407279,147.44000244140625
JNJ,2023-12-04,2025-12-01,500,-32.216036957333685,37.41532011757715,-69.63135707491084,-4.402887278421439,-33.74592391398829,82,25.609756097560975,-0.5039537638651947,205.33999633789062
CL,2023-12-04,2025-12-01,500,-31.200743441798224,5.948943589160738,-37.14968703095896,-4.284685965889457,-31.931297463969244,86,23.25581395348837,-0.45995298069675394,79.94000244140625
GIS,2023-12-04,2025-12-01,500,-25.103352588012324,-21.465687408293178,-3.6376651797191464,-3.5402417861514306,-25.103352588012317,56,25.0,-0.5455870064153601,47.06999969482422
K,2023-12-04,2025-12-01,500,-46.518518422470564,63.531200638495775,-110.04971906096634,-2.5603893822996597,-46.69666532462706,96,8.333333333333332,-0.6909598253251881,83.06999969482422
MCD,2023-12-04,2025-12-01,500,-16.295670068466787,10.53745900286751,-26.833129071334298,-1.5584220584752935,-16.712158364301143,67,28.35820895522388,-0.2848515275876373,303.57000732421875
WMT,2023-12-04,2025-12-01,500,-18.18124765775232,121.91390852282441,-140.09515618057674,-1.4968661028525014,-29.383521955431647,91,30.76923076923077,-0.23396268784988683,111.52999877929688
XLU,2023-12-04,2025-12-01,500,-30.250660883592634,48.718567658061154,-78.96922854165379,-4.069068760145835,-30.773630901899686,85,28.235294117647058,-0.44823193551412066,88.51000213623047
O,2023-12-04,2025-12-01,500,-24.250384700551702,15.685088280312232,-39.935472980863935,-2.747125263769755,-24.784740931921455,71,26.76056338028169,-0.4134595614240455,57.43000030517578
VZ,2023-12-04,2025-12-01,500,-10.147371685429189,22.099253724944347,-32.24662541037354,-0.8504473362240083,-15.630929097808444,45,40.0,-0.2513230953536283,40.7400016784668
T,2023-12-04,2025-12-01,500,-30.12257191445039,71.75207237234874,-101.87464428679912,-3.0900944307361873,-30.53525909625311,71,25.352112676056336,-0.5320425092519065,25.790000915527344
SO,2023-12-04,2025-12-01,500,-17.18458823198671,33.80165614359591,-50.98624437558262,-1.953064861464899,-19.870765019546432,71,38.028169014084504,-0.2810789795786084,89.01000213623047
ED,2023-12-04,2025-12-01,500,-34.20357618831788,13.95602896322643,-48.15960515154431,-4.743070545892458,-34.7386255783547,85,23.52941176470588,-0.52152731007169,97.87999725341797
